event_key,county_fips5,county_name_x,state_name,planned_shelter,actual_shelter,shelter_pop,event,state_abbr,county_name_y,n_buildings,n_damaged,n_displaced_bldgs,n_severe,n_residential,n_res_displaced,avg_damage_pct,max_damage_pct,total_bldg_loss_usd,centroid_lat,centroid_lon,total_population,pct_elderly,median_household_income,total_housing_units,displaced_pop_estimate,tier1_shelter_estimate,damage_rate,severe_rate,displacement_rate,log_displaced_pop,log_n_buildings,log_bldg_loss,log_total_pop,damage_x_pop,tier2_shelter_estimate,tier3_p90,tier3_p95,tier3_p99
HELENE_2024,12057,Hillsborough,FL,,26.0,26.0,HELENE_2024,FL,Hillsborough,75619,67453,58484,30533,71084,56690,44.6359,100.0,8403411487.72,27.922988,-82.468186,1468560,0.1461,70612,606334,143425.69999999998,1044.7537682309148,0.892011267009614,0.4037741837368915,0.7496793134000714,11.87357938228461,11.233476077444925,22.851903589956894,14.199793567743452,633.82056571044,333.7030621314869,220284.0,220284.0,220284.0
HELENE_2024,12065,Jefferson,FL,15.0,,15.0,HELENE_2024,FL,Jefferson,353,347,347,294,336,330,75.8711,100.0,47441401.32,30.450673,-83.917801,14458,0.2409,51573,6741,834.9,6.081650088484776,0.9830028328611898,0.8328611898016998,0.9348441926345609,6.72850898870511,5.869296913133774,17.675005872081954,9.579072337028126,726.7747551898947,39.42879819485396,1841.6255625906429,2168.7,2168.7
HELENE_2024,12067,Lafayette,FL,5.0,,5.0,HELENE_2024,FL,Lafayette,245,245,245,215,241,241,86.4265,100.0,24117683.6,29.963994,-83.058538,8107,0.1916,57852,3403,609.7299999999999,4.4414474888631235,1.0,0.8775510204081632,0.9836734693877551,6.414654962978663,5.5053315359323625,16.998455930190566,9.000606507571892,777.8909183266621,29.263798457363436,1216.05,1216.05,1216.05
HELENE_2024,12073,Leon,FL,37.0,,37.0,HELENE_2024,FL,Leon,2042,2026,2026,1741,1885,1870,81.0923,100.0,308480392.96,30.475109,-84.257193,294128,0.1407,61317,134107,4731.099999999999,34.46268383474706,0.9921645445641528,0.8525954946131243,0.9157688540646425,8.462124357588426,7.622174594817622,19.54716884648626,12.591773725597198,1021.0958924882456,185.60494926362057,10435.878188013643,27093.13042681436,44119.2
HELENE_2024,12079,Madison,FL,29.0,,29.0,HELENE_2024,FL,Madison,71,71,71,60,68,68,85.162,100.0,7722109.85,30.376744,-83.625771,17986,0.2237,43386,8362,172.04,1.2531885030817114,1.0,0.8450704225352113,0.9577464788732394,5.153522781644804,4.276666119016055,15.85959831079264,9.79740455372797,834.3665666045815,30.875877452614134,379.4864795641325,985.2047427932496,2697.9
HELENE_2024,12081,Manatee,FL,,33.0,33.0,HELENE_2024,FL,Manatee,29272,23749,21506,12331,28199,21153,46.2476,100.0,3079716456.39,27.496179,-82.585002,405069,0.282,71385,208358,53517.09,389.8337706718741,0.8113213992894234,0.4212558075977043,0.7226359661109593,10.88777500657187,10.28442086845496,21.848103370405216,12.911815170659823,597.1404632866072,246.35522171259427,60760.35,60760.35,60760.35
HELENE_2024,12101,Pasco,FL,,91.0,91.0,HELENE_2024,FL,Pasco,44022,39833,36172,19877,41433,35089,49.2956,100.0,7311017269.29,28.259987,-82.691267,569211,0.2217,63187,259083,88775.17,646.6636968328554,0.9048430330289401,0.45152423788105944,0.7970787333605924,11.39387353711053,10.692467503598817,22.712648262488422,13.252008227196269,653.2656967645764,368.8087746427473,85381.65,85381.65,85381.65
HELENE_2024,12103,Pinellas,FL,,117.0,117.0,HELENE_2024,FL,Pinellas,93790,88024,79136,45363,88251,77234,48.1589,100.0,9742464689.56,27.887258,-82.720532,959918,0.2556,66406,516276,195402.02,1423.3641301031307,0.9385222305149803,0.48366563599530865,0.8234779827273696,12.182819473947331,11.44882418156364,22.999759970901646,13.774604184884248,663.369785479422,365.14202672538846,143987.69999999998,143987.69999999998,143987.69999999998
HELENE_2024,12121,Suwannee,FL,6.0,,6.0,HELENE_2024,FL,Suwannee,239,239,239,223,233,233,87.9833,100.0,23695591.8,30.014748,-82.962943,43881,0.2115,49729,18948,589.49,4.2940135473240995,1.0,0.9330543933054394,0.9748953974895398,6.380952700693006,5.480638923341991,16.980799631007155,10.689259492201895,940.476324680247,33.9630426802504,1300.299260859454,3375.7750745709877,6582.15
HELENE_2024,12123,Taylor,FL,57.0,,57.0,HELENE_2024,FL,Taylor,2882,2586,2427,1856,2709,2367,65.954,100.0,188655303.8,29.78697,-83.494997,21421,0.2041,46239,11110,5988.509999999999,43.62201745285898,0.897293546148508,0.6439972241498959,0.8213046495489243,8.697764884758438,7.9665866976384025,19.05543212377781,9.972173710324576,657.704744890747,46.21915196517824,3213.15,3213.15,3213.15
HELENE_2024,12129,Wakulla,FL,34.0,,34.0,HELENE_2024,FL,Wakulla,2483,1885,1631,1126,2261,1553,47.3232,100.0,162567368.63,30.073684,-84.353966,33732,0.1568,72035,13843,3929.0899999999997,28.6206139012632,0.7591623036649214,0.45348368908578335,0.6254530809504631,8.276417605364447,7.81762544305337,18.906603056157014,10.426231865695646,493.4026558266882,60.3430617335282,5059.8,5059.8,5059.8
IDA_2021,22005,Ascension,LA,22.0,110.0,110.0,IDA_2021,LA,Ascension,4284,4252,3520,2193,3754,3179,60.7246,100.0,743075674.65,30.23377,-90.872923,126973,0.1241,93800,49998,8042.869999999999,58.58656251907,0.992530345471522,0.5119047619047619,0.7420634920634921,8.992665589648077,8.36287583103188,20.42630844897601,11.751737620072378,713.6195662838471,79.87237765088459,17740.992919623193,19045.95,19045.95
IDA_2021,22007,Assumption,LA,9.0,46.0,46.0,IDA_2021,LA,Assumption,1641,1624,1322,906,1576,1289,58.7858,100.0,132269504.91,29.867027,-91.12612,21067,0.1941,47023,10032,3261.1699999999996,23.75529383047538,0.9896404631322364,0.5521023765996343,0.785496648385131,8.090147897089713,7.403670290012373,18.700352110529916,9.95551058060328,585.2426538892283,30.036220143838946,3160.0499999999997,3160.0499999999997,3160.0499999999997
IDA_2021,22033,East Baton Rouge,LA,14.0,422.0,422.0,IDA_2021,LA,East Baton Rouge,3215,3187,3187,2682,3104,3076,87.3925,100.0,664136089.52,30.535089,-91.076715,454369,0.1468,62083,204246,7782.28,56.68835052175506,0.9912908242612752,0.8342146189735614,0.9567651632970451,8.959733122157063,8.075893630298857,20.313997642042587,13.026667123082827,1138.433006554016,218.4919213661958,17166.182516753994,44566.026306353466,68155.34999999999
IDA_2021,22051,Jefferson,LA,448.0,,448.0,IDA_2021,LA,Jefferson,125295,119030,118193,86343,115613,109441,75.7995,100.0,22723764739.74,29.938837,-90.152072,436171,0.1783,63257,193740,276885.73,2016.9147494965525,0.9499980047088871,0.6891176822698432,0.8734666187796799,12.531363784572624,11.738434216990719,23.846677118689442,12.98579193995116,984.3165361523278,83.09327992320404,65425.649999999994,65425.649999999994,65425.649999999994
IDA_2021,22057,Lafourche,LA,302.0,,302.0,IDA_2021,LA,Lafourche,23297,18698,17234,10658,21946,16387,51.3512,100.0,1876791343.7,29.629544,-90.528001,97220,0.1586,61381,41108,41459.10999999999,302.0,0.8025926084903635,0.45748379619693524,0.7033952869468172,10.632487039145923,10.056122798959722,21.352829424120113,11.48474201649594,589.7552842374863,40.58140572177131,14583.0,14583.0,14583.0
IDA_2021,22063,Livingston,LA,25.0,64.0,64.0,IDA_2021,LA,Livingston,7122,7065,6709,4796,6908,6518,74.0307,100.0,998285823.49,30.425877,-90.768351,143425,0.1353,77978,57984,16490.539999999997,120.1218038689205,0.9919966301600674,0.673406346531873,0.9151923616961528,9.710602801126369,8.871084263978354,20.721550190556435,11.873574501730932,879.0090318652921,58.82964554493632,21513.75,21513.75,21513.75
IDA_2021,22071,Orleans,LA,392.0,,392.0,IDA_2021,LA,Orleans,118308,112986,111109,74906,107963,102509,71.9578,100.0,21167451359.53,29.976397,-90.053876,380408,0.1588,51116,193999,259347.77,1889.1632391529874,0.9550157216756263,0.6331439970247151,0.8664587348277377,12.465929037142505,11.681055124841096,23.775730525640817,12.84900226867949,924.5859354491851,33.397795489731664,57061.2,57061.2,57061.2
IDA_2021,22075,Plaquemines,LA,23.0,,23.0,IDA_2021,LA,Plaquemines,8484,8482,8194,5893,7204,7161,76.9973,100.0,1675351447.58,29.707168,-89.884297,23305,0.1335,77996,9560,18117.329999999998,131.97180692011963,0.9997642621404997,0.6946016030174446,0.844059405940594,9.80467941199426,9.046055177668327,21.239288800262056,10.056466117133208,774.3207385607408,49.52919155083007,3495.75,3495.75,3495.75
