event_key,county_fips5,county_name_x,state_name,planned_shelter,actual_shelter,shelter_pop,event,state_abbr,county_name_y,n_buildings,n_damaged,n_displaced_bldgs,n_severe,n_residential,n_res_displaced,avg_damage_pct,max_damage_pct,total_bldg_loss_usd,centroid_lat,centroid_lon,total_population,pct_elderly,median_household_income,total_housing_units
MILTON_2024,12021,Collier,FL,,14.0,14.0,MILTON_2024,FL,Collier,12732,12641,12392,10927,11859,11566,80.8474,100.0,2846060527.86,26.196971,-81.619127,380221,0.3282,82011,229814
MILTON_2024,12027,DeSoto,FL,5.0,,5.0,MILTON_2024,FL,DeSoto,1491,1483,1468,1309,1397,1378,82.0342,100.0,253999590.02,27.180449,-81.902569,34258,0.2227,45000,15567
MILTON_2024,12049,Hardee,FL,4.0,,4.0,MILTON_2024,FL,Hardee,559,552,552,506,518,511,84.6315,100.0,90998702.44,27.503604,-81.835457,25528,0.157,44665,9837
MILTON_2024,12057,Hillsborough,FL,726.0,,726.0,MILTON_2024,FL,Hillsborough,20201,19964,19947,17409,19327,19087,81.8645,100.0,3995671176.78,27.97401,-82.374154,1468560,0.1461,70612,606334
MILTON_2024,12071,Lee,FL,,108.0,108.0,MILTON_2024,FL,Lee,16002,14260,13070,10627,14361,11747,63.629,100.0,2499402099.61,26.597308,-81.896637,772902,0.2889,69368,419916
MILTON_2024,12081,Manatee,FL,397.0,,397.0,MILTON_2024,FL,Manatee,8422,7584,6991,5675,8155,6757,68.8673,100.0,1584532746.67,27.489804,-82.525599,405069,0.282,71385,208358
MILTON_2024,12103,Pinellas,FL,403.0,,403.0,MILTON_2024,FL,Pinellas,4590,4517,4476,3517,4225,4128,75.6265,100.0,897839442.0,27.955031,-82.725376,959918,0.2556,66406,516276
MILTON_2024,12115,Sarasota,FL,432.0,,432.0,MILTON_2024,FL,Sarasota,22961,21383,19392,11010,21987,19036,52.2647,100.0,2868883385.0,27.160861,-82.429776,439392,0.3731,77213,254601
FLORENCE_2018,37031,Carteret,NC,534.0,,534.0,FLORENCE_2018,NC,Carteret,3289,3061,1700,920,3144,1678,34.2788,100.0,157878248.44,34.7573,-76.711257,68353,0.2583,66965,51096
FLORENCE_2018,37049,Craven,NC,781.0,,781.0,FLORENCE_2018,NC,Craven,3179,2881,1903,305,3001,1895,22.16,100.0,96288521.87,35.09481,-77.043866,101098,0.198,61676,47051
FLORENCE_2018,37137,Pamlico,NC,111.0,,111.0,FLORENCE_2018,NC,Pamlico,2205,1766,1106,505,2031,1090,28.7678,100.0,70479281.94,35.132955,-76.680897,12317,0.3035,55867,7206
FLORENCE_2018,37103,Jones,NC,76.0,,76.0,FLORENCE_2018,NC,Jones,19,19,13,3,17,12,26.8684,62.5,827540.08,35.054994,-77.15136,9263,0.232,53053,4669
FLORENCE_2018,37013,Beaufort,NC,24.0,,24.0,FLORENCE_2018,NC,Beaufort,4334,3217,2154,834,3907,2131,27.8887,100.0,147178923.67,35.490469,-76.808691,44711,0.2444,56081,24299
FLORENCE_2018,37019,Brunswick,NC,1047.0,,1047.0,FLORENCE_2018,NC,Brunswick,2471,668,582,305,2439,569,15.2693,100.0,77583743.65,33.904099,-78.301937,139721,0.3274,71193,90454
FLORENCE_2018,37133,Onslow,NC,1549.0,,1549.0,FLORENCE_2018,NC,Onslow,1542,1126,798,288,1475,787,26.701,100.0,61261159.67,34.514802,-77.436137,203686,0.096,59976,84531
FLORENCE_2018,37141,Pender,NC,483.0,,483.0,FLORENCE_2018,NC,Pender,1535,482,393,248,1467,387,18.0085,100.0,41784462.68,34.404676,-77.584188,61592,0.1801,74538,30283
FLORENCE_2018,37129,New Hanover,NC,1762.0,,1762.0,FLORENCE_2018,NC,New Hanover,906,505,298,166,841,288,19.6678,100.0,65816399.19,34.181143,-77.832492,228134,0.1852,67515,114625
