event,county_fips5,state_abbr,county_name,n_buildings,n_damaged,n_displaced_bldgs,n_severe,n_residential,n_res_displaced,avg_damage_pct,max_damage_pct,total_bldg_loss_usd,centroid_lat,centroid_lon
FLORENCE_2018,37055,NC,Dare,1153,869,719,399,1053,664,41.6284,100.0,9.747770261E7,35.608127,-75.662382
FLORENCE_2018,37073,NC,Gates,13,11,5,1,10,5,17.2308,100.0,374639.86,36.380791,-76.813598
FLORENCE_2018,37091,NC,Hertford,42,38,15,7,40,15,21.5119,75.0,920432.81,36.386373,-76.887044
FLORENCE_2018,37095,NC,Hyde,2161,1640,1030,552,1891,998,30.3924,100.0,8.276160199E7,35.414679,-76.188819
FLORENCE_2018,37103,NC,Jones,19,19,13,3,17,12,26.8684,62.5,827540.08,35.054994,-77.15136
FLORENCE_2018,37117,NC,Martin,45,45,27,0,45,27,18.6333,37.5,1078957.76,35.832612,-76.925934
FLORENCE_2018,37129,NC,New Hanover,906,505,298,166,841,288,19.6678,100.0,6.581639919E7,34.181143,-77.832492
FLORENCE_2018,37133,NC,Onslow,1542,1126,798,288,1475,787,26.701,100.0,6.126115967E7,34.514802,-77.436137
FLORENCE_2018,37137,NC,Pamlico,2205,1766,1106,505,2031,1090,28.7678,100.0,7.047928194E7,35.132955,-76.680897
FLORENCE_2018,37139,NC,Pasquotank,94,89,27,23,76,26,27.4043,100.0,4215725.37,36.223807,-76.231044
FLORENCE_2018,37141,NC,Pender,1535,482,393,248,1467,387,18.0085,100.0,4.178446268E7,34.404676,-77.584188
FLORENCE_2018,37143,NC,Perquimans,70,58,39,31,66,37,47.9214,100.0,5982134.72,36.15894,-76.340622
FLORENCE_2018,37147,NC,Pitt,78,75,55,29,71,55,44.3077,100.0,3099962.08,35.577589,-77.147414
FLORENCE_2018,37177,NC,Tyrrell,760,557,256,143,699,256,21.3388,100.0,1.455411198E7,35.848986,-76.195227
FLORENCE_2018,37187,NC,Washington,47,41,17,2,41,17,12.7979,75.0,876607.46,35.892866,-76.505698
FLORENCE_2018,45013,SC,Beaufort,931,910,909,627,895,875,74.2422,100.0,2.0809182789E8,32.28676,-80.704041
FLORENCE_2018,45015,SC,Berkeley,76,75,57,30,74,56,45.0789,100.0,9912848.55,32.964676,-79.908907
FLORENCE_2018,45019,SC,Charleston,1169,1154,1097,814,1110,1046,64.1198,100.0,2.6260302815E8,32.739849,-79.991284
FLORENCE_2018,45029,SC,Colleton,206,185,140,83,195,133,47.8544,100.0,2.537137535E7,32.599196,-80.41248
FLORENCE_2018,45035,SC,Dorchester,45,45,43,27,38,38,65.2667,100.0,1.050992098E7,32.915071,-80.132639
FLORENCE_2018,45043,SC,Georgetown,457,385,275,121,440,266,38.1247,100.0,5.387338679E7,33.464639,-79.111724
FLORENCE_2018,45051,SC,Horry,895,478,331,112,866,328,18.8464,100.0,3.485126159E7,33.761028,-78.746237
FLORENCE_2018,45053,SC,Jasper,34,31,31,24,34,31,70.8824,100.0,3324050.18,32.44785,-80.897305
FLORENCE_2018,45089,SC,Williamsburg,1,1,1,1,1,1,100.0,100.0,98994.0,33.630036,-79.450089
FLORENCE_2018,51001,VA,Accomack,597,540,489,338,558,459,61.9012,100.0,7.670827205E7,37.85512,-75.607475
FLORENCE_2018,51033,VA,Caroline,1,1,1,1,1,1,65.0,65.0,217794.2,38.156339,-77.17481
FLORENCE_2018,51036,VA,Charles City,9,8,5,3,9,5,33.7222,100.0,1012886.56,37.341114,-77.003986
FLORENCE_2018,51041,VA,Chesterfield,10,10,3,1,6,2,16.2,50.5,1207295.34,37.350788,-77.327692
FLORENCE_2018,51057,VA,Essex,85,79,72,50,85,72,64.1294,100.0,1.266616181E7,37.893509,-76.814919
FLORENCE_2018,51059,VA,Fairfax,11,11,10,6,9,8,51.5,100.0,1833937.55,38.70077,-77.124615
FLORENCE_2018,51073,VA,Gloucester,263,250,183,130,256,179,53.308,100.0,3.497785769E7,37.320954,-76.454355
FLORENCE_2018,51087,VA,Henrico,1,1,0,0,0,0,5.0,5.0,16017.15,37.400935,-77.384888
FLORENCE_2018,51093,VA,Isle of Wight,119,113,109,56,110,104,59.3992,100.0,1.970784429E7,36.984032,-76.584804
FLORENCE_2018,51095,VA,James City,28,26,17,11,28,17,38.0893,100.0,3931114.77,37.310447,-76.75528
FLORENCE_2018,51097,VA,King and Queen,13,13,12,11,12,11,74.4615,100.0,4660094.2,37.482457,-76.730978
FLORENCE_2018,51099,VA,King George,38,35,33,26,35,31,62.6053,100.0,8078985.06,38.329826,-77.135822
FLORENCE_2018,51101,VA,King William,20,20,12,7,18,10,36.75,100.0,3483741.99,37.547276,-76.810528
FLORENCE_2018,51103,VA,Lancaster,157,151,123,88,145,114,59.6178,100.0,2.379914699E7,37.68187,-76.427019
FLORENCE_2018,51115,VA,Mathews,298,264,234,149,270,216,55.1107,100.0,4.893178514E7,37.431908,-76.313561
FLORENCE_2018,51119,VA,Middlesex,168,156,139,101,146,119,61.0446,100.0,3.209489605E7,37.601649,-76.431116
FLORENCE_2018,51127,VA,New Kent,10,10,9,4,9,9,51.45,100.0,952991.46,37.476485,-76.882255
FLORENCE_2018,51131,VA,Northampton,66,64,62,32,62,59,62.5303,100.0,1.062164806E7,37.408116,-75.926442
FLORENCE_2018,51133,VA,Northumberland,304,272,240,145,298,237,55.7632,100.0,4.262702023E7,37.891294,-76.356075
FLORENCE_2018,51153,VA,Prince William,9,7,4,4,2,2,39.8333,100.0,1799856.65,38.643169,-77.287588
FLORENCE_2018,51159,VA,Richmond,26,25,25,17,25,24,73.0192,100.0,2921606.23,37.861688,-76.709712
FLORENCE_2018,51175,VA,Southampton,3,3,3,3,3,3,100.0,100.0,215723.0,36.573668,-76.951216
FLORENCE_2018,51179,VA,Stafford,56,55,48,37,51,43,63.8839,100.0,1.420429418E7,38.407602,-77.337178
FLORENCE_2018,51181,VA,Surry,15,13,11,7,15,11,55.3667,100.0,1301801.61,37.22064,-76.928733
FLORENCE_2018,51193,VA,Westmoreland,294,258,227,150,275,212,56.2041,100.0,4.813280598E7,38.151036,-76.743785
FLORENCE_2018,51199,VA,York,110,107,102,78,92,86,71.4591,100.0,2.880259147E7,37.150096,-76.421084
FLORENCE_2018,51550,VA,Chesapeake,240,231,167,123,211,158,49.6854,100.0,3.749805325E7,36.745953,-76.282303
FLORENCE_2018,51650,VA,Hampton,252,229,180,94,239,169,49.1964,100.0,3.778081472E7,37.053722,-76.331917
FLORENCE_2018,51670,VA,Hopewell,1,1,1,1,1,1,100.0,100.0,120714.0,37.30626,-77.323708
FLORENCE_2018,51700,VA,Newport News,31,27,26,20,28,24,60.1452,100.0,6919035.56,37.098912,-76.525559
FLORENCE_2018,51710,VA,Norfolk,116,112,104,72,110,98,65.3147,100.0,2.089409133E7,36.885587,-76.251107
FLORENCE_2018,51735,VA,Poquoson,193,187,132,70,187,129,47.614,100.0,2.714317651E7,37.136372,-76.376086
FLORENCE_2018,51740,VA,Portsmouth,71,69,66,44,67,65,66.3732,100.0,1.070798871E7,36.842193,-76.360802
FLORENCE_2018,51800,VA,Suffolk,66,65,63,35,58,56,64.8712,100.0,1.373895403E7,36.862864,-76.482313
FLORENCE_2018,51810,VA,Virginia Beach,165,160,144,134,111,109,71.7394,100.0,3.501097192E7,36.721325,-75.975224
HELENE_2024,12005,FL,Bay,2194,2166,2164,1912,2117,2090,83.6082,100.0,3.2031321904E8,30.245002,-85.615334
HELENE_2024,12009,FL,Brevard,8385,8261,8239,6752,8159,8025,78.8304,100.0,1.903367536E9,28.063422,-80.653071
HELENE_2024,12011,FL,Broward,8208,8136,8127,6709,7609,7536,78.4911,100.0,1.74088134112E9,26.147322,-80.250403
HELENE_2024,12013,FL,Calhoun,319,318,318,268,293,292,82.3887,100.0,4.541636744E7,30.446733,-85.15798
HELENE_2024,12015,FL,Charlotte,33288,28519,22990,6514,31972,22747,31.8426,100.0,2.2290857091E9,26.927826,-82.152872
HELENE_2024,12017,FL,Citrus,20089,19261,18309,13383,18081,17032,68.6766,100.0,1.96871209478E9,28.839482,-82.575112
HELENE_2024,12021,FL,Collier,17506,16339,14276,11202,16261,13433,63.1865,100.0,3.04283800021E9,26.177592,-81.658706
HELENE_2024,12027,FL,DeSoto,1479,1471,1463,1303,1385,1373,82.4391,100.0,2.5341930638E8,27.181426,-81.901824
HELENE_2024,12029,FL,Dixie,2933,2394,2318,1920,2869,2293,66.8031,100.0,1.6572010571E8,29.497992,-83.14765
HELENE_2024,12033,FL,Escambia,1345,1323,1323,1071,1145,1125,79.6112,100.0,2.1561611577E8,30.537001,-87.337464
HELENE_2024,12037,FL,Franklin,2075,1210,1075,716,1986,1042,37.9923,100.0,1.070116917E8,29.78706,-84.710707
HELENE_2024,12041,FL,Gilchrist,343,341,327,254,329,317,73.3673,100.0,2.694627758E7,29.756193,-82.887707
HELENE_2024,12045,FL,Gulf,918,866,850,697,841,781,75.9826,100.0,9.193209685E7,29.921039,-85.248684
HELENE_2024,12049,FL,Hardee,559,552,552,506,518,511,84.6315,100.0,9.099870244E7,27.503604,-81.835457
HELENE_2024,12051,FL,Hendry,1204,1198,1198,1119,1130,1124,87.463,100.0,2.0463143706E8,26.73635,-81.463628
HELENE_2024,12053,FL,Hernando,4745,4407,4301,3565,4595,4208,74.3015,100.0,5.6233168928E8,28.50983,-82.587158
HELENE_2024,12057,FL,Hillsborough,75619,67453,58484,30533,71084,56690,44.6359,100.0,8.40341148772E9,27.922988,-82.468186
HELENE_2024,12061,FL,Indian River,4065,4004,4003,3515,3751,3693,82.3893,100.0,8.0850607085E8,27.693299,-80.461458
HELENE_2024,12065,FL,Jefferson,353,347,347,294,336,330,75.8711,100.0,4.744140132E7,30.450673,-83.917801
HELENE_2024,12067,FL,Lafayette,245,245,245,215,241,241,86.4265,100.0,2.41176836E7,29.963994,-83.058538
